регион,уровень,год,объем_млн_кв_м
Брянская область,регион,2019,0.4
Владимирская область,регион,2019,0.7
Воронежская область,регион,2019,1.9
Ивановская область,регион,2019,0.3
Калужская область,регион,2019,0.8
Костромская область,регион,2019,0.2
Курская область,регион,2019,0.6
Липецкая область,регион,2019,1.3
Московская область,регион,2019,8.6
Орловская область,регион,2019,0.3
Рязанская область,регион,2019,0.8
Смоленская область,регион,2019,0.4
Тамбовская область,регион,2019,0.9
Тверская область,регион,2019,0.6
Тульская область,регион,2019,0.7
Ярославская область,регион,2019,0.8
Город Москва,регион,2019,5.2
Северо-Западный федеральный округ,федеральный_округ,2019,9.4
Республика Карелия,регион,2019,0.3
Республика Коми,регион,2019,0.2
Архангельская область,регион,2019,0.3
Ненецкий автономный округ,регион,2019,0.02
Архангельская область (кроме Ненецкого автономного округа),регион,2019,0.3
Вологодская область,регион,2019,0.6
Калининградская область,регион,2019,1.0
Ленинградская область,регион,2019,2.9
Мурманская область,регион,2019,0.0
Новгородская область,регион,2019,0.3
Псковская область,регион,2019,0.3
Город Санкт-Петербург,регион,2019,3.5
Южный федеральный округ,федеральный_округ,2019,9.9
Республика Адыгея (Адыгея),регион,2019,0.3
Республика Калмыкия,регион,2019,0.1
Республика Крым,регион,2019,0.8
Краснодарский край,регион,2019,4.5
Астраханская область,регион,2019,0.3
Волгоградская область,регион,2019,0.7
Ростовская область,регион,2019,2.6
Город Севастополь,регион,2019,0.6
Северо-Кавказский федеральный округ,федеральный_округ,2019,4.0
Республика Дагестан,регион,2019,1.0
Республика Ингушетия,регион,2019,0.3
Кабардино-Балкарская Республика,регион,2019,0.5
Карачаево-Черкесская Республика,регион,2019,0.2
Республика Северная Осетия-Алания,регион,2019,0.2
Чеченская Республика,регион,2019,0.6
Ставропольский край,регион,2019,1.2
Приволжский федеральный округ,федеральный_округ,2019,16.2
Республика Башкортостан,регион,2019,2.4
Республика Марий Эл,регион,2019,0.4
Республика Мордовия,регион,2019,0.3
Республика Татарстан (Татарстан),регион,2019,2.7
Удмуртская Республика,регион,2019,0.8
Чувашская Республика - Чувашия,регион,2019,0.7
Пермский край,регион,2019,1.2
Кировская область,регион,2019,0.5
Нижегородская область,регион,2019,1.4
Оренбургская область,регион,2019,1.0
Пензенская область,регион,2019,0.8
Самарская область,регион,2019,1.8
Саратовская область,регион,2019,1.2
Ульяновская область,регион,2019,1.0
Уральский федеральный округ,федеральный_округ,2019,6.7
Курганская область,регион,2019,0.3
Свердловская область,регион,2019,2.4
Тюменская область,регион,2019,2.6
Ханты-Мансийский автономный округ - Югра,регион,2019,0.8
Ямало-Ненецкий автономный округ,регион,2019,0.1
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2019,1.6
Челябинская область,регион,2019,1.5
Сибирский федеральный округ,федеральный_округ,2019,7.4
Республика Алтай,регион,2019,0.1
Республика Тыва,регион,2019,0.1
Республика Хакасия,регион,2019,0.2
Алтайский край,регион,2019,0.8
Красноярский край,регион,2019,1.7
Иркутская область,регион,2019,1.0
Кемеровская область,регион,2019,0.8
Новосибирская область,регион,2019,1.8
Омская область,регион,2019,0.5
Томская область,регион,2019,0.4
Дальневосточный федеральный округ,федеральный_округ,2019,2.5
Республика Бурятия,регион,2019,0.3
Республика Саха (Якутия),регион,2019,0.6
Забайкальский край,регион,2019,0.2
Камчатский край,регион,2019,0.0
Приморский край,регион,2019,0.6
Хабаровский край,регион,2019,0.3
Амурская область,регион,2019,0.2
Магаданская область,регион,2019,0.01
Сахалинская область,регион,2019,0.3
Еврейская автономная область,регион,2019,0.02
Чукотский автономный округ,регион,2019,0.0
Российская Федерация,страна,2020,82.2
Центральный федеральный округ,федеральный_округ,2020,25.5
Белгородская область,регион,2020,1.1
Брянская область,регион,2020,0.4
Владимирская область,регион,2020,0.7
Воронежская область,регион,2020,1.7
Ивановская область,регион,2020,0.3
Калужская область,регион,2020,0.8
Костромская область,регион,2020,0.3
Курская область,регион,2020,0.5
Липецкая область,регион,2020,1.2
Московская область,регион,2020,9.0
Орловская область,регион,2020,0.4
Рязанская область,регион,2020,0.6
Смоленская область,регион,2020,0.4
Тамбовская область,регион,2020,0.7
Тверская область,регион,2020,0.7
Тульская область,регион,2020,0.7
Ярославская область,регион,2020,0.7
Город Москва,регион,2020,5.0
Северо-Западный федеральный округ,федеральный_округ,2020,9.2
Республика Карелия,регион,2020,0.3
Республика Коми,регион,2020,0.2
Архангельская область,регион,2020,0.4
Ненецкий автономный округ,регион,2020,0.02
Архангельская область (кроме Ненецкого автономного округа),регион,2020,0.4
Вологодская область,регион,2020,0.5
Калининградская область,регион,2020,1.2
Ленинградская область,регион,2020,2.7
Мурманская область,регион,2020,0.0
Новгородская область,регион,2020,0.3
Псковская область,регион,2020,0.3
Город Санкт-Петербург,регион,2020,3.4
Южный федеральный округ,федеральный_округ,2020,10.7
Республика Адыгея (Адыгея),регион,2020,0.3
Республика Калмыкия,регион,2020,0.1
Республика Крым,регион,2020,0.8
Краснодарский край,регион,2020,5.1
Астраханская область,регион,2020,0.4
Волгоградская область,регион,2020,0.8
Ростовская область,регион,2020,2.6
Город Севастополь,регион,2020,0.6
Северо-Кавказский федеральный округ,федеральный_округ,2020,4.0
Республика Дагестан,регион,2020,1.0
Республика Ингушетия,регион,2020,0.2
Кабардино-Балкарская Республика,регион,2020,0.5
Карачаево-Черкесская Республика,регион,2020,0.1
Республика Северная Осетия-Алания,регион,2020,0.2
Чеченская Республика,регион,2020,0.8
Ставропольский край,регион,2020,1.2
Приволжский федеральный округ,федеральный_округ,2020,15.8
Республика Башкортостан,регион,2020,2.5
Республика Марий Эл,регион,2020,0.4
Республика Мордовия,регион,2020,0.3
Республика Татарстан (Татарстан),регион,2020,2.7
Удмуртская Республика,регион,2020,0.8
Чувашская Республика - Чувашия,регион,2020,0.6
Пермский край,регион,2020,1.2
Кировская область,регион,2020,0.5
Нижегородская область,регион,2020,1.5
Оренбургская область,регион,2020,1.0
Пензенская область,регион,2020,0.9
Самарская область,регион,2020,1.4
Саратовская область,регион,2020,1.2
Ульяновская область,регион,2020,1.0
Уральский федеральный округ,федеральный_округ,2020,7.0
Курганская область,регион,2020,0.3
Свердловская область,регион,2020,2.4
Тюменская область,регион,2020,2.7
Ханты-Мансийский автономный округ - Югра,регион,2020,1.0
Ямало-Ненецкий автономный округ,регион,2020,0.2
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2020,1.6
Челябинская область,регион,2020,1.6
Сибирский федеральный округ,федеральный_округ,2020,7.5
Республика Алтай,регион,2020,0.1
Республика Тыва,регион,2020,0.1
Республика Хакасия,регион,2020,0.3
Алтайский край,регион,2020,0.8
Красноярский край,регион,2020,1.3
Иркутская область,регион,2020,1.1
Кемеровская область,регион,2020,0.8
Новосибирская область,регион,2020,1.9
Омская область,регион,2020,0.5
Томская область,регион,2020,0.5
Дальневосточный федеральный округ,федеральный_округ,2020,2.6
Республика Бурятия,регион,2020,0.3
Республика Саха (Якутия),регион,2020,0.5
Забайкальский край,регион,2020,0.2
Камчатский край,регион,2020,0.1
Приморский край,регион,2020,0.7
Хабаровский край,регион,2020,0.2
Амурская область,регион,2020,0.2
Магаданская область,регион,2020,0.01
Сахалинская область,регион,2020,0.4
Еврейская автономная область,регион,2020,0.01
Чукотский автономный округ,регион,2020,0.0
Российская Федерация,страна,2021,92.6
Центральный федеральный округ,федеральный_округ,2021,29.2
Белгородская область,регион,2021,1.2
Брянская область,регион,2021,0.5
Владимирская область,регион,2021,0.8
Воронежская область,регион,2021,1.9
Ивановская область,регион,2021,0.4
Калужская область,регион,2021,0.9
Костромская область,регион,2021,0.3
Курская область,регион,2021,0.6
Липецкая область,регион,2021,1.2
Московская область,регион,2021,9.2
Орловская область,регион,2021,0.3
Рязанская область,регион,2021,0.8
Смоленская область,регион,2021,0.5
Тамбовская область,регион,2021,0.8
Тверская область,регион,2021,0.6
Тульская область,регион,2021,0.8
Ярославская область,регион,2021,0.8
Город Москва,регион,2021,7.8
Северо-Западный федеральный округ,федеральный_округ,2021,10.4
Республика Карелия,регион,2021,0.3
Республика Коми,регион,2021,0.2
Архангельская область,регион,2021,0.4
Ненецкий автономный округ,регион,2021,0.02
Архангельская область (кроме Ненецкого автономного округа),регион,2021,0.4
Вологодская область,регион,2021,0.6
Калининградская область,регион,2021,1.3
Ленинградская область,регион,2021,3.4
Мурманская область,регион,2021,0.1
Новгородская область,регион,2021,0.3
Псковская область,регион,2021,0.3
Город Санкт-Петербург,регион,2021,3.5
Южный федеральный округ,федеральный_округ,2021,12.0
Республика Адыгея (Адыгея),регион,2021,0.3
Республика Калмыкия,регион,2021,0.1
Республика Крым,регион,2021,0.7
Краснодарский край,регион,2021,6.3
Астраханская область,регион,2021,0.5
Волгоградская область,регион,2021,0.8
Ростовская область,регион,2021,2.7
Город Севастополь,регион,2021,0.5
Северо-Кавказский федеральный округ,федеральный_округ,2021,4.7
Республика Дагестан,регион,2021,1.0
Республика Ингушетия,регион,2021,0.1
Кабардино-Балкарская Республика,регион,2021,0.5
Карачаево-Черкесская Республика,регион,2021,0.2
Республика Северная Осетия-Алания,регион,2021,0.3
Чеченская Республика,регион,2021,1.0
Ставропольский край,регион,2021,1.5
Приволжский федеральный округ,федеральный_округ,2021,17.4
Республика Башкортостан,регион,2021,2.9
Республика Марий Эл,регион,2021,0.4
Республика Мордовия,регион,2021,0.3
Республика Татарстан (Татарстан),регион,2021,3.0
Удмуртская Республика,регион,2021,0.8
Чувашская Республика - Чувашия,регион,2021,0.7
Пермский край,регион,2021,1.3
Кировская область,регион,2021,0.5
Нижегородская область,регион,2021,1.6
Оренбургская область,регион,2021,1.1
Пензенская область,регион,2021,0.9
Самарская область,регион,2021,1.8
Саратовская область,регион,2021,1.2
Ульяновская область,регион,2021,0.9
Уральский федеральный округ,федеральный_округ,2021,7.7
Курганская область,регион,2021,0.3
Свердловская область,регион,2021,2.9
Тюменская область,регион,2021,2.8
Ханты-Мансийский автономный округ - Югра,регион,2021,0.9
Ямало-Ненецкий автономный округ,регион,2021,0.2
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2021,1.7
Челябинская область,регион,2021,1.7
Сибирский федеральный округ,федеральный_округ,2021,8.1
Республика Алтай,регион,2021,0.2
Республика Тыва,регион,2021,0.1
Республика Хакасия,регион,2021,0.3
Алтайский край,регион,2021,1.0
Красноярский край,регион,2021,1.4
Иркутская область,регион,2021,1.2
Кемеровская область,регион,2021,0.8
Новосибирская область,регион,2021,2.0
Омская область,регион,2021,0.6
Томская область,регион,2021,0.5
Дальневосточный федеральный округ,федеральный_округ,2021,3.1
Республика Бурятия,регион,2021,0.3
Республика Саха (Якутия),регион,2021,0.6
Забайкальский край,регион,2021,0.2
Камчатский край,регион,2021,0.1
Приморский край,регион,2021,0.9
Хабаровский край,регион,2021,0.3
Амурская область,регион,2021,0.2
Магаданская область,регион,2021,0.01
Сахалинская область,регион,2021,0.5
Еврейская автономная область,регион,2021,0.03
Чукотский автономный округ,регион,2021,0.0
Российская Федерация,страна,2022,102.7
Центральный федеральный округ,федеральный_округ,2022,32.9
Белгородская область,регион,2022,0.8
Брянская область,регион,2022,0.5
Владимирская область,регион,2022,1.2
Воронежская область,регион,2022,1.9
Ивановская область,регион,2022,0.4
Калужская область,регион,2022,0.9
Костромская область,регион,2022,0.3
Курская область,регион,2022,0.6
Липецкая область,регион,2022,0.8
Московская область,регион,2022,14.1
Орловская область,регион,2022,0.4
Рязанская область,регион,2022,0.8
Смоленская область,регион,2022,0.5
Тамбовская область,регион,2022,0.4
Тверская область,регион,2022,0.8
Тульская область,регион,2022,0.9
Ярославская область,регион,2022,0.8
Город Москва,регион,2022,6.8
Северо-Западный федеральный округ,федеральный_округ,2022,11.2
Республика Карелия,регион,2022,0.3
Республика Коми,регион,2022,0.2
Архангельская область,регион,2022,0.5
Ненецкий автономный округ,регион,2022,0.04
Архангельская область (кроме Ненецкого автономного округа),регион,2022,0.4
Вологодская область,регион,2022,0.6
Калининградская область,регион,2022,1.3
Ленинградская область,регион,2022,4.0
Мурманская область,регион,2022,0.2
Новгородская область,регион,2022,0.3
Псковская область,регион,2022,0.3
Город Санкт-Петербург,регион,2022,3.5
Южный федеральный округ,федеральный_округ,2022,13.8
Республика Адыгея (Адыгея),регион,2022,0.5
Республика Калмыкия,регион,2022,0.1
Республика Крым,регион,2022,0.9
Краснодарский край,регион,2022,7.6
Астраханская область,регион,2022,0.6
Волгоградская область,регион,2022,0.8
Ростовская область,регион,2022,2.7
Город Севастополь,регион,2022,0.6
Северо-Кавказский федеральный округ,федеральный_округ,2022,6.0
Республика Дагестан,регион,2022,1.0
Республика Ингушетия,регион,2022,0.1
Кабардино-Балкарская Республика,регион,2022,0.5
Карачаево-Черкесская Республика,регион,2022,0.3
Республика Северная Осетия-Алания,регион,2022,0.3
Чеченская Республика,регион,2022,2.0
Ставропольский край,регион,2022,1.6
Приволжский федеральный округ,федеральный_округ,2022,18.5
Республика Башкортостан,регион,2022,3.1
Республика Марий Эл,регион,2022,0.4
Республика Мордовия,регион,2022,0.3
Республика Татарстан (Татарстан),регион,2022,3.1
Удмуртская Республика,регион,2022,1.2
Чувашская Республика - Чувашия,регион,2022,0.9
Пермский край,регион,2022,2.0
Кировская область,регион,2022,0.5
Нижегородская область,регион,2022,1.7
Оренбургская область,регион,2022,1.0
Пензенская область,регион,2022,0.8
Самарская область,регион,2022,1.9
Саратовская область,регион,2022,1.0
Ульяновская область,регион,2022,0.7
Уральский федеральный округ,федеральный_округ,2022,8.5
Курганская область,регион,2022,0.3
Свердловская область,регион,2022,2.9
Тюменская область,регион,2022,3.3
Ханты-Мансийский автономный округ - Югра,регион,2022,0.9
Ямало-Ненецкий автономный округ,регион,2022,0.2
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2022,2.2
Челябинская область,регион,2022,1.9
Сибирский федеральный округ,федеральный_округ,2022,8.3
Республика Алтай,регион,2022,0.2
Республика Тыва,регион,2022,0.1
Республика Хакасия,регион,2022,0.3
Алтайский край,регион,2022,0.9
Красноярский край,регион,2022,1.4
Иркутская область,регион,2022,1.3
Кемеровская область,регион,2022,0.8
Новосибирская область,регион,2022,2.2
Омская область,регион,2022,0.7
Томская область,регион,2022,0.4
Дальневосточный федеральный округ,федеральный_округ,2022,3.6
Республика Бурятия,регион,2022,0.3
Республика Саха (Якутия),регион,2022,0.6
Забайкальский край,регион,2022,0.3
Камчатский край,регион,2022,0.1
Приморский край,регион,2022,1.0
Хабаровский край,регион,2022,0.4
Амурская область,регион,2022,0.4
Магаданская область,регион,2022,0.01
Сахалинская область,регион,2022,0.5
Еврейская автономная область,регион,2022,0.03
Чукотский автономный округ,регион,2022,0.0
Российская Федерация,страна,2023,110.4
Центральный федеральный округ,федеральный_округ,2023,33.0
Белгородская область,регион,2023,1.0
Брянская область,регион,2023,0.6
Владимирская область,регион,2023,1.1
Воронежская область,регион,2023,2.0
Ивановская область,регион,2023,0.5
Калужская область,регион,2023,1.1
Костромская область,регион,2023,0.4
Курская область,регион,2023,0.6
Липецкая область,регион,2023,0.8
Московская область,регион,2023,12.5
Орловская область,регион,2023,0.4
Рязанская область,регион,2023,0.8
Смоленская область,регион,2023,0.5
Тамбовская область,регион,2023,0.5
Тверская область,регион,2023,0.8
Тульская область,регион,2023,1.1
Ярославская область,регион,2023,1.0
Город Москва,регион,2023,7.3
Северо-Западный федеральный округ,федеральный_округ,2023,11.4
Республика Карелия,регион,2023,0.3
Республика Коми,регион,2023,0.2
Архангельская область,регион,2023,0.5
Ненецкий автономный округ,регион,2023,0.02
Архангельская область (кроме Ненецкого автономного округа),регион,2023,0.4
Вологодская область,регион,2023,0.7
Калининградская область,регион,2023,1.2
Ленинградская область,регион,2023,4.2
Мурманская область,регион,2023,0.1
Новгородская область,регион,2023,0.4
Псковская область,регион,2023,0.4
Город Санкт-Петербург,регион,2023,3.5
Южный федеральный округ,федеральный_округ,2023,14.6
Республика Адыгея (Адыгея),регион,2023,0.6
Республика Калмыкия,регион,2023,0.1
Республика Крым,регион,2023,1.2
Краснодарский край,регион,2023,7.6
Астраханская область,регион,2023,0.6
Волгоградская область,регион,2023,1.0
Ростовская область,регион,2023,3.0
Город Севастополь,регион,2023,0.5
Северо-Кавказский федеральный округ,федеральный_округ,2023,7.4
Республика Дагестан,регион,2023,1.6
Республика Ингушетия,регион,2023,0.2
Кабардино-Балкарская Республика,регион,2023,0.6
Карачаево-Черкесская Республика,регион,2023,0.4
Республика Северная Осетия-Алания,регион,2023,0.5
Чеченская Республика,регион,2023,2.3
Ставропольский край,регион,2023,1.8
Приволжский федеральный округ,федеральный_округ,2023,20.2
Республика Башкортостан,регион,2023,3.3
Республика Марий Эл,регион,2023,0.5
Республика Мордовия,регион,2023,0.4
Республика Татарстан (Татарстан),регион,2023,3.4
Удмуртская Республика,регион,2023,1.4
Чувашская Республика - Чувашия,регион,2023,0.8
Пермский край,регион,2023,1.9
Кировская область,регион,2023,0.6
Нижегородская область,регион,2023,1.9
Оренбургская область,регион,2023,1.1
Пензенская область,регион,2023,0.9
Самарская область,регион,2023,1.9
Саратовская область,регион,2023,1.2
Ульяновская область,регион,2023,0.8
Уральский федеральный округ,федеральный_округ,2023,9.4
Курганская область,регион,2023,0.4
Свердловская область,регион,2023,3.3
Тюменская область,регион,2023,3.7
Ханты-Мансийский автономный округ - Югра,регион,2023,1.0
Ямало-Ненецкий автономный округ,регион,2023,0.3
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2023,2.5
Челябинская область,регион,2023,2.1
Сибирский федеральный округ,федеральный_округ,2023,10.0
Республика Алтай,регион,2023,0.2
Республика Тыва,регион,2023,0.2
Республика Хакасия,регион,2023,0.4
Алтайский край,регион,2023,0.9
Красноярский край,регион,2023,1.6
Иркутская область,регион,2023,1.5
Кемеровская область,регион,2023,0.9
Новосибирская область,регион,2023,3.0
Омская область,регион,2023,0.7
Томская область,регион,2023,0.5
Дальневосточный федеральный округ,федеральный_округ,2023,4.5
Республика Бурятия,регион,2023,0.5
Республика Саха (Якутия),регион,2023,0.7
Забайкальский край,регион,2023,0.4
Камчатский край,регион,2023,0.1
Приморский край,регион,2023,1.2
Хабаровский край,регион,2023,0.6
Амурская область,регион,2023,0.5
Магаданская область,регион,2023,0.01
Сахалинская область,регион,2023,0.5
Еврейская автономная область,регион,2023,0.03
Чукотский автономный округ,регион,2023,0.01
Российская Федерация,страна,2024,107.8
Центральный федеральный округ,федеральный_округ,2024,30.3
Белгородская область,регион,2024,0.9
Брянская область,регион,2024,0.6
Владимирская область,регион,2024,1.0
Воронежская область,регион,2024,1.9
Ивановская область,регион,2024,0.5
Калужская область,регион,2024,1.0
Костромская область,регион,2024,0.3
Курская область,регион,2024,0.7
Липецкая область,регион,2024,0.8
Московская область,регион,2024,11.4
Орловская область,регион,2024,0.4
Рязанская область,регион,2024,0.6
Смоленская область,регион,2024,0.5
Тамбовская область,регион,2024,0.4
Тверская область,регион,2024,0.9
Тульская область,регион,2024,0.9
Ярославская область,регион,2024,1.0
Город Москва,регион,2024,6.5
Северо-Западный федеральный округ,федеральный_округ,2024,10.4
Республика Карелия,регион,2024,0.3
Республика Коми,регион,2024,0.2
Архангельская область,регион,2024,0.5
Ненецкий автономный округ,регион,2024,0.03
Архангельская область (кроме Ненецкого автономного округа),регион,2024,0.5
Вологодская область,регион,2024,0.7
Калининградская область,регион,2024,1.2
Ленинградская область,регион,2024,4.1
Мурманская область,регион,2024,0.1
Новгородская область,регион,2024,0.3
Псковская область,регион,2024,0.4
Город Санкт-Петербург,регион,2024,2.7
Южный федеральный округ,федеральный_округ,2024,13.6
Республика Адыгея (Адыгея),регион,2024,0.6
Республика Калмыкия,регион,2024,0.1
Республика Крым,регион,2024,1.2
Краснодарский край,регион,2024,6.7
Астраханская область,регион,2024,0.6
Волгоградская область,регион,2024,1.0
Ростовская область,регион,2024,3.0
Город Севастополь,регион,2024,0.3
Северо-Кавказский федеральный округ,федеральный_округ,2024,9.1
Республика Дагестан,регион,2024,2.9
Республика Ингушетия,регион,2024,0.2
Кабардино-Балкарская Республика,регион,2024,0.6
Карачаево-Черкесская Республика,регион,2024,0.4
Республика Северная Осетия-Алания,регион,2024,0.5
Чеченская Республика,регион,2024,2.6
Ставропольский край,регион,2024,1.9
Приволжский федеральный округ,федеральный_округ,2024,20.3
Республика Башкортостан,регион,2024,3.3
Республика Марий Эл,регион,2024,0.5
Республика Мордовия,регион,2024,0.4
Республика Татарстан (Татарстан),регион,2024,3.5
Удмуртская Республика,регион,2024,1.4
Чувашская Республика - Чувашия,регион,2024,0.8
Пермский край,регион,2024,1.8
Кировская область,регион,2024,0.6
Нижегородская область,регион,2024,2.0
Оренбургская область,регион,2024,1.2
Пензенская область,регион,2024,1.1
Самарская область,регион,2024,2.0
Саратовская область,регион,2024,1.1
Ульяновская область,регион,2024,0.7
Уральский федеральный округ,федеральный_округ,2024,9.6
Курганская область,регион,2024,0.4
Свердловская область,регион,2024,3.3
Тюменская область,регион,2024,3.9
Ханты-Мансийский автономный округ - Югра,регион,2024,1.0
Ямало-Ненецкий автономный округ,регион,2024,0.3
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2024,2.6
Челябинская область,регион,2024,2.0
Сибирский федеральный округ,федеральный_округ,2024,9.9
Республика Алтай,регион,2024,0.2
Республика Тыва,регион,2024,0.3
Республика Хакасия,регион,2024,0.4
Алтайский край,регион,2024,0.9
Красноярский край,регион,2024,1.5
Иркутская область,регион,2024,1.6
Кемеровская область,регион,2024,0.9
Новосибирская область,регион,2024,2.6
Омская область,регион,2024,0.9
Томская область,регион,2024,0.5
Дальневосточный федеральный округ,федеральный_округ,2024,4.7
Республика Бурятия,регион,2024,0.5
Республика Саха (Якутия),регион,2024,0.8
Забайкальский край,регион,2024,0.5
Камчатский край,регион,2024,0.1
Приморский край,регион,2024,1.3
Хабаровский край,регион,2024,0.5
Амурская область,регион,2024,0.5
Магаданская область,регион,2024,0.01
Сахалинская область,регион,2024,0.5
Еврейская автономная область,регион,2024,0.04
Чукотский автономный округ,регион,2024,0.01
Российская Федерация,страна,2025,108.1
Центральный федеральный округ,федеральный_округ,2025,32.2
Белгородская область,регион,2025,0.8
Брянская область,регион,2025,0.5
Владимирская область,регион,2025,1.0
Воронежская область,регион,2025,1.9
Ивановская область,регион,2025,0.6
Калужская область,регион,2025,1.1
Костромская область,регион,2025,0.3
Курская область,регион,2025,0.9
Липецкая область,регион,2025,0.7
Московская область,регион,2025,12.5
Орловская область,регион,2025,0.4
Рязанская область,регион,2025,0.6
Смоленская область,регион,2025,0.4
Тамбовская область,регион,2025,0.4
Тверская область,регион,2025,0.9
Тульская область,регион,2025,1.0
Ярославская область,регион,2025,0.9
Город Москва,регион,2025,7.4
Северо-Западный федеральный округ,федеральный_округ,2025,10.8
Республика Карелия,регион,2025,0.3
Республика Коми,регион,2025,0.2
Архангельская область,регион,2025,0.5
Ненецкий автономный округ,регион,2025,0.03
Архангельская область (кроме Ненецкого автономного округа),регион,2025,0.5
Вологодская область,регион,2025,0.8
Калининградская область,регион,2025,1.2
Ленинградская область,регион,2025,4.2
Мурманская область,регион,2025,0.1
Новгородская область,регион,2025,0.4
Псковская область,регион,2025,0.3
Город Санкт-Петербург,регион,2025,2.7
Южный федеральный округ,федеральный_округ,2025,13.5
Республика Адыгея (Адыгея),регион,2025,0.6
Республика Калмыкия,регион,2025,0.1
Республика Крым,регион,2025,1.5
Краснодарский край,регион,2025,6.2
Астраханская область,регион,2025,0.8
Волгоградская область,регион,2025,1.2
Ростовская область,регион,2025,2.8
Город Севастополь,регион,2025,0.3
Северо-Кавказский федеральный округ,федеральный_округ,2025,7.9
Республика Дагестан,регион,2025,1.7
Республика Ингушетия,регион,2025,0.2
Кабардино-Балкарская Республика,регион,2025,0.6
Карачаево-Черкесская Республика,регион,2025,0.4
Республика Северная Осетия-Алания,регион,2025,0.5
Чеченская Республика,регион,2025,2.6
Ставропольский край,регион,2025,1.9
Приволжский федеральный округ,федеральный_округ,2025,18.9
Республика Башкортостан,регион,2025,3.0
Республика Марий Эл,регион,2025,0.5
Республика Мордовия,регион,2025,0.3
Республика Татарстан (Татарстан),регион,2025,3.5
Удмуртская Республика,регион,2025,1.2
Чувашская Республика - Чувашия,регион,2025,0.8
Пермский край,регион,2025,1.8
Кировская область,регион,2025,0.6
Нижегородская область,регион,2025,1.8
Оренбургская область,регион,2025,1.2
Пензенская область,регион,2025,0.8
Самарская область,регион,2025,1.7
Саратовская область,регион,2025,1.1
Ульяновская область,регион,2025,0.6
Уральский федеральный округ,федеральный_округ,2025,9.9
Курганская область,регион,2025,0.4
Свердловская область,регион,2025,3.2
Тюменская область,регион,2025,4.2
Ханты-Мансийский автономный округ - Югра,регион,2025,0.9
Ямало-Ненецкий автономный округ,регион,2025,0.3
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2025,3.0
Челябинская область,регион,2025,2.1
Сибирский федеральный округ,федеральный_округ,2025,10.3
Республика Алтай,регион,2025,0.4
Республика Тыва,регион,2025,0.5
Республика Хакасия,регион,2025,0.5
Алтайский край,регион,2025,0.9
Красноярский край,регион,2025,1.4
Иркутская область,регион,2025,1.9
Кемеровская область,регион,2025,0.9
Новосибирская область,регион,2025,2.5
Омская область,регион,2025,0.9
Томская область,регион,2025,0.4
Дальневосточный федеральный округ,федеральный_округ,2025,4.7
Республика Бурятия,регион,2025,0.6
Республика Саха (Якутия),регион,2025,0.8
Забайкальский край,регион,2025,0.4
Камчатский край,регион,2025,0.1
Приморский край,регион,2025,1.4
Хабаровский край,регион,2025,0.6
Амурская область,регион,2025,0.4
Магаданская область,регион,2025,0.02
Сахалинская область,регион,2025,0.4
Еврейская автономная область,регион,2025,0.04
Чукотский автономный округ,регион,2025,0.01
